start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
OH1,PA4,698554.5319614258,33246.65558322087,0.0338282162475585,147495,148484,2018,590.006736408316,,,,,,,698554.5319614258,0.0338282162475585,590.006736408316,33246.65558322087
OH1,WV1,498002.3576566455,23701.675541569235,0.0191713577134874,146435,152322,2018,254.2982198361024,,,,,,,498002.3576566455,0.0191713577134874,254.2982198361024,23701.675541569235
OH2,OH3,246173.517602356,11716.259474338984,0.032980651028951,153900,152466,2018,95.08283302358917,,,,,,,246173.517602356,0.032980651028951,95.08283302358917,11716.259474338985
OH2,OH4,355562.315613678,16922.455305512496,0.0450987753550211,155520,113602,2018,129.66976382162545,,,,,,,355562.315613678,0.0450987753550211,129.66976382162545,16922.455305512496
OH2,PA1,414036.63183403807,19705.452713580285,0.0188487424825032,123680,151647,2018,250.73807241391287,,,,,,,414036.63183403807,0.0188487424825032,250.73807241391287,19705.452713580285
OH2,VA1,621588.093650586,29583.553350095557,0.0281314986877441,147356,154283,2018,490.15179343055956,,,,,,,621588.093650586,0.0281314986877441,490.15179343055956,29583.553350095557
OH2,WV1,486264.1331121485,23143.01234387495,0.0207648029683431,132844,154283,2018,276.4082796750974,,,,,,,486264.1331121485,0.0207648029683431,276.4082796750974,23143.012343874954
OH2,WV2,399306.1594498121,19004.37796632841,0.0196159084099663,154283,153933,2018,261.86342022466545,,,,,,,399306.1594498121,0.0196159084099663,261.86342022466545,19004.37796632841
OH3,OH4,160198.00552191163,7624.383882746059,0.012121109787623,113649,113019,2018,34.5050353065596,,,,,,,160198.00552191163,0.012121109787623,34.5050353065596,7624.383882746059
PA1,PA4,734217.294073003,34943.97127558463,0.0278399927707248,146541,146390,2018,371.14236892167986,,,,,,,734217.294073003,0.0278399927707248,371.14236892167986,34943.97127558463
PA1,WV1,235904.6548777771,11227.52834940184,0.0236840556780497,146435,146390,2018,68.11648110974603,,,,,,,235904.6548777771,0.0236840556780497,68.11648110974603,11227.528349401839
PA2,PA4,521594.1770007666,24824.4928112722,0.0190244422234429,123419,147910,2018,253.66833030588347,,,,,,,521594.1770007666,0.0190244422234429,253.66833030588347,24824.4928112722
PA3,PA4,665041.6055372828,31651.658097082123,0.018792826953464,123428,124988,2018,250.0503667360565,,,,,,,665041.6055372828,0.018792826953464,250.0503667360565,31651.658097082123
SERC,VA1,443613.6589022241,21113.12697109392,0.0193364593166775,115447,150926,2018,257.27510837290146,455774.6762901439,,0.020367611040142942,,255.5852163460901,,899388.335192368,0.03970407035682044,512.8603247189916,42805.039331357795
SERC,VA2,343024.5916059986,16325.741129583545,0.0188468699476454,114527,115179,2018,250.93596072702178,455774.6762901439,194838.00121177672,0.020367611040142942,0.023033291,255.5852163460901,66.15325092730842,993637.2691079193,0.062247771987788345,572.6744280004202,47290.67603058274
VA2,VA3,501155.1843049634,23851.7295987606,0.018889674319797,148215,147526,2018,250.87045275562272,194838.00121177672,,0.023033291,,66.15325092730842,,695993.1855167401,0.041922965319797,317.0237036829311,33124.75213949591
VA2,WV1,614753.5732103516,29258.27459696093,0.0276403311767578,147836,146435,2018,481.2965163627167,194838.00121177672,,0.023033291,,66.15325092730842,,809591.5744221284,0.050673622176757804,547.4497672900252,38531.297137696245
VA3,WV1,600302.3285493165,28570.489274539137,0.0661138600667317,147526,146435,2018,189.72233412931402,,,,,,,600302.3285493165,0.0661138600667317,189.72233412931402,28570.489274539137
WV1,WV2,483619.4725019507,23017.14368735808,0.0189184551578097,155326,132844,2018,252.12344473356802,,,,,,,483619.4725019507,0.0189184551578097,252.12344473356802,23017.143687358082
MD2,DE1,504866.0009072265,24028.340351197538,0.0385938622792561,161307,128238,2018,110.12393307023207,136004.83130941162,,0.0039893724,,11.535533905932738,,640870.8322166381,0.04258323467925609,121.65946697616481,30501.286380911006
PA4,DE1,304912.96131385805,14511.875227833423,0.0191524099985758,128238,146517,2018,54.97795404135742,,,,,,,304912.96131385805,0.0191524099985758,54.97795404135742,14511.875227833425
MISC,IL1,324265.9895345166,15432.953589372304,0.0197757496236165,153373,153604,2018,264.7452870591092,605684.8980603315,,0.033403171958597155,,446.58163604282515,,929950.887594848,0.053178921582213656,711.3269231019344,44259.61818952702
MISC,IL1,324265.9895345166,15432.953589372304,0.0197757496236165,153373,153604,2018,264.7452870591092,605684.8980603315,,0.033403171958597155,,446.58163604282515,,929950.887594848,0.053178921582213656,711.3269231019344,44259.61818952702
NY1,ISONE,624598.7903761036,29726.842946711247,0.0278081896362304,136539,144052,2018,483.97733617255625,559599.749967881,149256.2872643598,0.031161251202845786,0.010321238639488028,287.8924740404343,29.646057725380267,1333454.8276083444,0.06929067947856421,801.5158679383709,63463.783227915344
MISC,KY3,449840.5022309265,21409.484243215196,0.0612096979141235,124474,125223,2018,175.86608082332012,605684.8980603315,,0.033403171958597155,,446.58163604282515,,1055525.400291258,0.09461286987272066,622.4477168661452,50236.14884336993
SERC,KY3,403196.37891052733,19189.52712882885,0.0198636449991862,148157,129144,2018,263.9339379361272,455774.6762901439,,0.020367611040142942,,255.5852163460901,,858971.0552006713,0.040231256039329144,519.5191542822173,40881.43948909273
PA3,MD1,149279.00091677858,7104.7102297827605,0.0130844389438629,122879,124988,2018,37.4791196056551,,,,,,,149279.00091677858,0.0130844389438629,37.4791196056551,7104.7102297827605
WV1,MD1,445960.97076441895,21224.84375977422,0.0190724114244249,122879,146435,2018,253.97883691735348,,,,,,,445960.97076441895,0.0190724114244249,253.97883691735348,21224.84375977422
PA4,MD2,264769.0542394562,12601.286159690122,0.0187052846908569,161307,146541,2018,53.47653404060326,,136004.83130941162,,0.0039893724,,11.535533905932738,400773.8855488678,0.0226946570908569,65.012067946536,19074.23218940359
VA2,MD2,547536.0031438232,26059.155131129035,0.0192360932685004,147559,122979,2018,255.69813333642685,194838.00121177672,136004.83130941162,0.023033291,0.0039893724,66.15325092730842,11.535533905932738,878378.8356650115,0.046258756668500406,333.386918169668,41805.123701577824
MISC,MI,437727.688078689,20832.993014774864,0.0259978848978678,153280,143992,2018,347.81607795588053,605684.8980603315,348752.28839641117,0.033403171958597155,0.019519746,446.58163604282515,196.009942165989,1392164.8745354316,0.07892080285646495,990.4076561646948,66257.99988553111
MISC,MI,437727.688078689,20832.993014774864,0.0259978848978678,153280,143992,2018,347.81607795588053,605684.8980603315,348752.28839641117,0.033403171958597155,0.019519746,446.58163604282515,196.009942165989,1392164.8745354316,0.07892080285646495,990.4076561646948,66257.99988553111
SERC,MISC,492761.9718059448,23452.26723408573,0.0276643908657497,115381,117709,2018,369.1840263956156,455774.6762901439,605684.8980603315,0.020367611040142942,0.033403171958597155,255.5852163460901,446.58163604282515,1554221.5461564204,0.0814351738644898,1071.3508787845308,73970.84419450433
SERC,MISC,492761.9718059448,23452.26723408573,0.0276643908657497,115381,117709,2018,369.1840263956156,455774.6762901439,605684.8980603315,0.020367611040142942,0.033403171958597155,255.5852163460901,446.58163604282515,1554221.5461564204,0.0814351738644898,1071.3508787845308,73970.84419450433
PA4,NJ1,249039.6974352875,11852.671006130906,0.0130808400313059,132374,143949,2018,37.64969423887815,,,,,,,249039.6974352875,0.0130808400313059,37.64969423887815,11852.671006130906
PA4,NY1,611850.7187655665,29120.11759200527,0.0275566089477539,125410,147495,2018,479.5771753354851,,559599.749967881,,0.031161251202845786,,287.8924740404343,1171450.4687334476,0.05871786015059968,767.4696493759194,55753.42866565817
WV1,PA3,701389.6406398925,33381.588330002036,0.0824432450612386,124988,146435,2018,236.736902928578,,,,,,,701389.6406398925,0.0824432450612386,236.736902928578,33381.588330002036
VA2,VA1,459739.5782805762,21880.615925792255,0.0208663999294704,150926,147891,2018,277.8835716489288,194838.00121177672,,0.023033291,,66.15325092730842,,654577.5794923529,0.0438996909294704,344.0368225762372,31153.63846652757
WV1,VA1,650277.0924683351,30948.963234479223,0.0280541989271375,147329,146435,2018,373.46735529136873,,,,,,,650277.0924683351,0.0280541989271375,373.46735529136873,30948.963234479223
WV2,VA1,510074.69979889656,24276.24056537526,0.0191362755567762,153992,150926,2018,255.45818207577386,,,,,,,510074.69979889656,0.0191362755567762,255.45818207577386,24276.24056537526
