region,planning_year,reserve_margin
p111,2040,0.176
p111,2041,0.176
p111,2042,0.176
p111,2043,0.176
p111,2044,0.176
p111,2045,0.176
p111,2046,0.176
p111,2047,0.176
p111,2048,0.176
p111,2049,0.176
p111,2050,0.176
p112,2025,0.177
p112,2026,0.177
p112,2027,0.176
p112,2028,0.176
p112,2029,0.176
p112,2030,0.176
p112,2031,0.176
p112,2032,0.176
p112,2033,0.176
p112,2034,0.176
p112,2035,0.176
p112,2036,0.176
p112,2037,0.176
p112,2038,0.176
p112,2039,0.176
p112,2040,0.176
p112,2041,0.176
p112,2042,0.176
p112,2043,0.176
p112,2044,0.176
p112,2045,0.176
p112,2046,0.176
p112,2047,0.176
p112,2048,0.176
p112,2049,0.176
p112,2050,0.176
p113,2025,0.177
p113,2026,0.177
p113,2027,0.176
p113,2028,0.176
p113,2029,0.176
p113,2030,0.176
p113,2031,0.176
p113,2032,0.176
p113,2033,0.176
p113,2034,0.176
p113,2035,0.176
p113,2036,0.176
p113,2037,0.176
p113,2038,0.176
p113,2039,0.176
p113,2040,0.176
p113,2041,0.176
p113,2042,0.176
p113,2043,0.176
p113,2044,0.176
p113,2045,0.176
p113,2046,0.176
p113,2047,0.176
p113,2048,0.176
p113,2049,0.176
p113,2050,0.176
p114,2025,0.177
p114,2026,0.177
p114,2027,0.176
p114,2028,0.176
p114,2029,0.176
p114,2030,0.176
p114,2031,0.176
p114,2032,0.176
p114,2033,0.176
p114,2034,0.176
p114,2035,0.176
p114,2036,0.176
p114,2037,0.176
p114,2038,0.176
p114,2039,0.176
p114,2040,0.176
p114,2041,0.176
p114,2042,0.176
p114,2043,0.176
p114,2044,0.176
p114,2045,0.176
p114,2046,0.176
p114,2047,0.176
p114,2048,0.176
p114,2049,0.176
p114,2050,0.176
p115,2025,0.177
p115,2026,0.177
p115,2027,0.176
p115,2028,0.176
p115,2029,0.176
p115,2030,0.176
p115,2031,0.176
p115,2032,0.176
p115,2033,0.176
p115,2034,0.176
p115,2035,0.176
p115,2036,0.176
p115,2037,0.176
p115,2038,0.176
p115,2039,0.176
p115,2040,0.176
p115,2041,0.176
p115,2042,0.176
p115,2043,0.176
p115,2044,0.176
p115,2045,0.176
p115,2046,0.176
p115,2047,0.176
p115,2048,0.176
p115,2049,0.176
p115,2050,0.176
p116,2025,0.177
p116,2026,0.177
p116,2027,0.176
p116,2028,0.176
p116,2029,0.176
p116,2030,0.176
p116,2031,0.176
p116,2032,0.176
p116,2033,0.176
p116,2034,0.176
p116,2035,0.176
p116,2036,0.176
p116,2037,0.176
p116,2038,0.176
p116,2039,0.176
p116,2040,0.176
p116,2041,0.176
p116,2042,0.176
p116,2043,0.176
p116,2044,0.176
p116,2045,0.176
p116,2046,0.176
p116,2047,0.176
p116,2048,0.176
p116,2049,0.176
p116,2050,0.176
p117,2025,0.177
p117,2026,0.177
p117,2027,0.176
p117,2028,0.176
p117,2029,0.176
p117,2030,0.176
p117,2031,0.176
p117,2032,0.176
p117,2033,0.176
p117,2034,0.176
p117,2035,0.176
p117,2036,0.176
p117,2037,0.176
p117,2038,0.176
p117,2039,0.176
p117,2040,0.176
p117,2041,0.176
p117,2042,0.176
p117,2043,0.176
p117,2044,0.176
p117,2045,0.176
p117,2046,0.176
p117,2047,0.176
p117,2048,0.176
p117,2049,0.176
p117,2050,0.176
p118,2025,0.177
p118,2026,0.177
p118,2027,0.176
p118,2028,0.176
p118,2029,0.176
p118,2030,0.176
p118,2031,0.176
p118,2032,0.176
p118,2033,0.176
p118,2034,0.176
p118,2035,0.176
p118,2036,0.176
p118,2037,0.176
p118,2038,0.176
p118,2039,0.176
p118,2040,0.176
p118,2041,0.176
p118,2042,0.176
p118,2043,0.176
p118,2044,0.176
p118,2045,0.176
p118,2046,0.176
p118,2047,0.176
p118,2048,0.176
p118,2049,0.176
p118,2050,0.176
p119,2025,0.177
p119,2026,0.177
p119,2027,0.176
p119,2028,0.176
p119,2029,0.176
p119,2030,0.176
p119,2031,0.176
p119,2032,0.176
p119,2033,0.176
p119,2034,0.176
p119,2035,0.176
p119,2036,0.176
p119,2037,0.176
p119,2038,0.176
p119,2039,0.176
p119,2040,0.176
p119,2041,0.176
p119,2042,0.176
p119,2043,0.176
p119,2044,0.176
p119,2045,0.176
p119,2046,0.176
p119,2047,0.176
p119,2048,0.176
p119,2049,0.176
p119,2050,0.176
p12,2025,0.163
p12,2026,0.158
p12,2027,0.159
p12,2028,0.154
p12,2029,0.147
p12,2030,0.145
p12,2031,0.143
p12,2032,0.142
p12,2033,0.144
p12,2034,0.138
p12,2035,0.138
p12,2036,0.138
p12,2037,0.138
p12,2038,0.138
p12,2039,0.138
p12,2040,0.138
p12,2041,0.138
p12,2042,0.138
p12,2043,0.138
p12,2044,0.138
p12,2045,0.138
p12,2046,0.138
p12,2047,0.138
p12,2048,0.138
p12,2049,0.138
p12,2050,0.138
p120,2025,0.177
p120,2026,0.177
p120,2027,0.176
p120,2028,0.176
p120,2029,0.176
p120,2030,0.176
p120,2031,0.176
p120,2032,0.176
p120,2033,0.176
p120,2034,0.176
p120,2035,0.176
p120,2036,0.176
p120,2037,0.176
p120,2038,0.176
p120,2039,0.176
p120,2040,0.176
p120,2041,0.176
p120,2042,0.176
p120,2043,0.176
p120,2044,0.176
p120,2045,0.176
p120,2046,0.176
p120,2047,0.176
p120,2048,0.176
p120,2049,0.176
p120,2050,0.176
p121,2025,0.177
p121,2026,0.177
p121,2027,0.176
p121,2028,0.176
p121,2029,0.176
p121,2030,0.176
p121,2031,0.176
p121,2032,0.176
p121,2033,0.176
p121,2034,0.176
p121,2035,0.176
p121,2036,0.176
p121,2037,0.176
p121,2038,0.176
p121,2039,0.176
p121,2040,0.176
p121,2041,0.176
p121,2042,0.176
p121,2043,0.176
p121,2044,0.176
p121,2045,0.176
p121,2046,0.176
p121,2047,0.176
p121,2048,0.176
p121,2049,0.176
p121,2050,0.176
p122,2025,0.177
p122,2026,0.177
p122,2027,0.176
p122,2028,0.176
p122,2029,0.176
p122,2030,0.176
p122,2031,0.176
p122,2032,0.176
p122,2033,0.176
p122,2034,0.176
p122,2035,0.176
p122,2036,0.176
p122,2037,0.176
p122,2038,0.176
p122,2039,0.176
p122,2040,0.176
p122,2041,0.176
p122,2042,0.176
p122,2043,0.176
p122,2044,0.176
p122,2045,0.176
p122,2046,0.176
p122,2047,0.176
p122,2048,0.176
p122,2049,0.176
p122,2050,0.176
p123,2025,0.177
p123,2026,0.177
p123,2027,0.176
p123,2028,0.176
p123,2029,0.176
p123,2030,0.176
p123,2031,0.176
p123,2032,0.176
p123,2033,0.176
p123,2034,0.176
p123,2035,0.176
p123,2036,0.176
p123,2037,0.176
p123,2038,0.176
p123,2039,0.176
p123,2040,0.176
p123,2041,0.176
p123,2042,0.176
p123,2043,0.176
p123,2044,0.176
p123,2045,0.176
p123,2046,0.176
p123,2047,0.176
p123,2048,0.176
p123,2049,0.176
p123,2050,0.176
p124,2025,0.177
p124,2026,0.177
p124,2027,0.176
p124,2028,0.176
p124,2029,0.176
p124,2030,0.176
p124,2031,0.176
p124,2032,0.176
p124,2033,0.176
p124,2034,0.176
p124,2035,0.176
p124,2036,0.176
p124,2037,0.176
p124,2038,0.176
p124,2039,0.176
p124,2040,0.176
p124,2041,0.176
p124,2042,0.176
p124,2043,0.176
p124,2044,0.176
p124,2045,0.176
p124,2046,0.176
p124,2047,0.176
p124,2048,0.176
p124,2049,0.176
p124,2050,0.176
p125,2025,0.177
p125,2026,0.177
p125,2027,0.176
p125,2028,0.176
p125,2029,0.176
p125,2030,0.176
p125,2031,0.176
p125,2032,0.176
p125,2033,0.176
p125,2034,0.176
p125,2035,0.176
p125,2036,0.176
p125,2037,0.176
p125,2038,0.176
p125,2039,0.176
p125,2040,0.176
p125,2041,0.176
p125,2042,0.176
p125,2043,0.176
p125,2044,0.176
p125,2045,0.176
p125,2046,0.176
p125,2047,0.176
p125,2048,0.176
p125,2049,0.176
p125,2050,0.176
p126,2025,0.177
p126,2026,0.177
p126,2027,0.176
p126,2028,0.176
p126,2029,0.176
p126,2030,0.176
p126,2031,0.176
p126,2032,0.176
p126,2033,0.176
p126,2034,0.176
p126,2035,0.176
p126,2036,0.176
p126,2037,0.176
p126,2038,0.176
p126,2039,0.176
p126,2040,0.176
p126,2041,0.176
p126,2042,0.176
p126,2043,0.176
p126,2044,0.176
p126,2045,0.176
p126,2046,0.176
p126,2047,0.176
p126,2048,0.176
p126,2049,0.176
p126,2050,0.176
p127,2025,0.15
p127,2026,0.15
p127,2027,0.15
p127,2028,0.15
p127,2029,0.15
p127,2030,0.15
p127,2031,0.15
p127,2032,0.15
p127,2033,0.15
p127,2034,0.15
p127,2035,0.15
p127,2036,0.15
p127,2037,0.15
p127,2038,0.15
p127,2039,0.15
p127,2040,0.15
p127,2041,0.15
p127,2042,0.15
p127,2043,0.15
p127,2044,0.15
p127,2045,0.15
p127,2046,0.15
p127,2047,0.15
p127,2048,0.15
p127,2049,0.15
p127,2050,0.15
p128,2025,0.15
p128,2026,0.15
p128,2027,0.15
p128,2028,0.15
p128,2029,0.15
p128,2030,0.15
p128,2031,0.15
p128,2032,0.15
p128,2033,0.15
p128,2034,0.15
p128,2035,0.15
p128,2036,0.15
p128,2037,0.15
p128,2038,0.15
p128,2039,0.15
p128,2040,0.15
p128,2041,0.15
p128,2042,0.15
p128,2043,0.15
p128,2044,0.15
p128,2045,0.15
p128,2046,0.15
p128,2047,0.15
p128,2048,0.15
p128,2049,0.15
p128,2050,0.15
p129,2025,0.127
p129,2026,0.118
p129,2027,0.113
p129,2028,0.113
p129,2029,0.113
p129,2030,0.113
p129,2031,0.113
p129,2032,0.113
p129,2033,0.113
p129,2034,0.113
p129,2035,0.113
p129,2036,0.113
p129,2037,0.113
p129,2038,0.113
p129,2039,0.113
p129,2040,0.113
p129,2041,0.113
p129,2042,0.113
p129,2043,0.113
p129,2044,0.113
p129,2045,0.113
p129,2046,0.113
p129,2047,0.113
p129,2048,0.113
p129,2049,0.113
p129,2050,0.113
p13,2025,0.163
p13,2026,0.158
p13,2027,0.159
p13,2028,0.154
p13,2029,0.147
p13,2030,0.145
p13,2031,0.143
p13,2032,0.142
p13,2033,0.144
p13,2034,0.138
p13,2035,0.138
p13,2036,0.138
p13,2037,0.138
p13,2038,0.138
p13,2039,0.138
p13,2040,0.138
p13,2041,0.138
p13,2042,0.138
p13,2043,0.138
p13,2044,0.138
p13,2045,0.138
p13,2046,0.138
p13,2047,0.138
p13,2048,0.138
p13,2049,0.138
p13,2050,0.138
p130,2025,0.127
p130,2026,0.118
p130,2027,0.113
p130,2028,0.113
p130,2029,0.113
p130,2030,0.113
p130,2031,0.113
p130,2032,0.113
p130,2033,0.113
p130,2034,0.113
p130,2035,0.113
p130,2036,0.113
p130,2037,0.113
p130,2038,0.113
p130,2039,0.113
p130,2040,0.113
p130,2041,0.113
p130,2042,0.113
p130,2043,0.113
p130,2044,0.113
p130,2045,0.113
p130,2046,0.113
p130,2047,0.113
p130,2048,0.113
p130,2049,0.113
p130,2050,0.113
p131,2025,0.127
p131,2026,0.118
p131,2027,0.113
p131,2028,0.113
p131,2029,0.113
p131,2030,0.113
p131,2031,0.113
p131,2032,0.113
p131,2033,0.113
p131,2034,0.113
p131,2035,0.113
p131,2036,0.113
p131,2037,0.113
p131,2038,0.113
p131,2039,0.113
p131,2040,0.113
p131,2041,0.113
p131,2042,0.113
p131,2043,0.113
p131,2044,0.113
p131,2045,0.113
p131,2046,0.113
p131,2047,0.113
p131,2048,0.113
p131,2049,0.113
p131,2050,0.113
p132,2025,0.127
p132,2026,0.118
p132,2027,0.113
p132,2028,0.113
p132,2029,0.113
p132,2030,0.113
p132,2031,0.113
p132,2032,0.113
p132,2033,0.113
p132,2034,0.113
p132,2035,0.113
p132,2036,0.113
p132,2037,0.113
p132,2038,0.113
p132,2039,0.113
p132,2040,0.113
p132,2041,0.113
p132,2042,0.113
p132,2043,0.113
p132,2044,0.113
p132,2045,0.113
p132,2046,0.113
p132,2047,0.113
p132,2048,0.113
p132,2049,0.113
p132,2050,0.113
p133,2025,0.127
p133,2026,0.118
p133,2027,0.113
p133,2028,0.113
p133,2029,0.113
p133,2030,0.113
p133,2031,0.113
p133,2032,0.113
p133,2033,0.113
p133,2034,0.113
p133,2035,0.113
p133,2036,0.113
p133,2037,0.113
p133,2038,0.113
p133,2039,0.113
p133,2040,0.113
p133,2041,0.113
p133,2042,0.113
p133,2043,0.113
p133,2044,0.113
p133,2045,0.113
p133,2046,0.113
p133,2047,0.113
p133,2048,0.113
p133,2049,0.113
p133,2050,0.113
p134,2025,0.127
p134,2026,0.118
p134,2027,0.113
p134,2028,0.113
p134,2029,0.113
p134,2030,0.113
p134,2031,0.113
p134,2032,0.113
p134,2033,0.113
p134,2034,0.113
p134,2035,0.113
p134,2036,0.113
p134,2037,0.113
p134,2038,0.113
p134,2039,0.113
p134,2040,0.113
p134,2041,0.113
p134,2042,0.113
p134,2043,0.113
p134,2044,0.113
p134,2045,0.113
p134,2046,0.113
p134,2047,0.113
p134,2048,0.113
p134,2049,0.113
p134,2050,0.113
p14,2025,0.163
p14,2026,0.158
p14,2027,0.159
p14,2028,0.154
p14,2029,0.147
p14,2030,0.145
p14,2031,0.143
p14,2032,0.142
p14,2033,0.144
p14,2034,0.138
p14,2035,0.138
p14,2036,0.138
p14,2037,0.138
p14,2038,0.138
p14,2039,0.138
p14,2040,0.138
p14,2041,0.138
p14,2042,0.138
p14,2043,0.138
p14,2044,0.138
p14,2045,0.138
p14,2046,0.138
p14,2047,0.138
p14,2048,0.138
p14,2049,0.138
p14,2050,0.138
p15,2025,0.163
p15,2026,0.158
p15,2027,0.159
p15,2028,0.154
p15,2029,0.147
p15,2030,0.145
p15,2031,0.143
p15,2032,0.142
p15,2033,0.144
p15,2034,0.138
p15,2035,0.138
p15,2036,0.138
p15,2037,0.138
p15,2038,0.138
p15,2039,0.138
p15,2040,0.138
p15,2041,0.138
p15,2042,0.138
p15,2043,0.138
p15,2044,0.138
p15,2045,0.138
p15,2046,0.138
