technology,tech_detail,cost_case,basis_year,heat_rate,data_year
Coal,99%-CCS,Conservative,2041,11.116,2023
Coal,99%-CCS,Conservative,2042,11.116,2023
Coal,99%-CCS,Conservative,2043,11.116,2023
Coal,99%-CCS,Conservative,2044,11.116,2023
Coal,99%-CCS,Conservative,2037,11.116,2023
Coal,99%-CCS,Moderate,2021,11.116,2023
Coal,99%-CCS,Conservative,2023,11.116,2023
Coal,99%-CCS,Conservative,2022,11.116,2023
Coal,99%-CCS,Advanced,2021,11.116,2023
Coal,99%-CCS,Advanced,2022,11.116,2023
Coal_Retrofits,95%-CCS,Advanced,2033,11.114,2023
Coal_Retrofits,90%-CCS,Advanced,2031,11.099,2023
Coal,99%-CCS,Moderate,2023,11.057,2023
Coal_Retrofits,95%-CCS,Advanced,2034,11.052,2023
Coal_Retrofits,90%-CCS,Advanced,2032,11.042,2023
Coal,99%-CCS,Moderate,2024,10.997,2023
Coal,99%-CCS,Advanced,2023,10.997,2023
Coal_Retrofits,95%-CCS,Advanced,2035,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2049,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2050,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2041,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2036,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2048,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2047,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2046,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2037,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2038,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2045,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2044,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2039,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2043,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2042,10.99,2023
Coal_Retrofits,95%-CCS,Advanced,2040,10.99,2023
Coal_Retrofits,90%-CCS,Advanced,2033,10.985,2023
Coal,95%-CCS,Conservative,2047,10.938,2023
Coal,95%-CCS,Advanced,2022,10.938,2023
Coal,95%-CCS,Conservative,2029,10.938,2023
Coal,95%-CCS,Conservative,2028,10.938,2023
Coal,95%-CCS,Conservative,2027,10.938,2023
Coal,95%-CCS,Conservative,2026,10.938,2023
Coal,95%-CCS,Conservative,2025,10.938,2023
Coal,95%-CCS,Conservative,2024,10.938,2023
Coal,95%-CCS,Conservative,2023,10.938,2023
Coal,95%-CCS,Conservative,2022,10.938,2023
Coal,95%-CCS,Conservative,2021,10.938,2023
Coal,99%-CCS,Moderate,2025,10.938,2023
Coal,95%-CCS,Advanced,2021,10.938,2023
Coal,95%-CCS,Conservative,2031,10.938,2023
Coal,95%-CCS,Conservative,2050,10.938,2023
Coal,95%-CCS,Moderate,2022,10.938,2023
Coal,95%-CCS,Moderate,2021,10.938,2023
Coal,95%-CCS,Conservative,2030,10.938,2023
Coal,95%-CCS,Conservative,2032,10.938,2023
Coal,95%-CCS,Conservative,2046,10.938,2023
Coal,95%-CCS,Conservative,2049,10.938,2023
Coal,95%-CCS,Conservative,2043,10.938,2023
Coal,95%-CCS,Conservative,2042,10.938,2023
Coal,95%-CCS,Conservative,2041,10.938,2023
Coal,95%-CCS,Conservative,2040,10.938,2023
Coal,95%-CCS,Conservative,2039,10.938,2023
Coal,95%-CCS,Conservative,2038,10.938,2023
Coal,95%-CCS,Conservative,2048,10.938,2023
Coal,95%-CCS,Conservative,2033,10.938,2023
Coal,95%-CCS,Conservative,2037,10.938,2023
Coal,95%-CCS,Conservative,2045,10.938,2023
Coal,95%-CCS,Conservative,2044,10.938,2023
Coal,95%-CCS,Conservative,2036,10.938,2023
Coal,95%-CCS,Conservative,2035,10.938,2023
Coal,95%-CCS,Conservative,2034,10.938,2023
Coal_Retrofits,90%-CCS,Advanced,2034,10.928,2023
Coal,95%-CCS,Moderate,2023,10.882,2023
Coal,99%-CCS,Moderate,2026,10.879,2023
Coal,99%-CCS,Advanced,2024,10.879,2023
Coal_Retrofits,90%-CCS,Advanced,2045,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2046,10.871,2023
