Resource,region,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Charge_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Reg_Cost,Rsv_Cost,Start_Cost_per_MW,Max_Duration,Min_Duration
h2-ct,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
conventional hydroelectric,all,,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydd,all,,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hyded,all,,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydend,all,0.7,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydnd,all,0.7,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydnpd,all,,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydnpnd,all,0.7,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydsd,all,,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
Run of River,all,0.7,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydsnd,all,0.7,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydud,all,,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
hydund,all,0.7,0,1,1,3,3,,,0,-1,-1,-1,0,0,,,
lfill-gas,all,0.7,0,1,1,8.4,8.4,7,7,0,-1,-1,-1,0,0,5.3,,
nuclear,all,0.7,0,1,1,0.6,0.6,48,48,0,-1,-1,-1,0,0,0,,
nuclear-nsp,all,0.7,0,1,1,0.6,0.6,48,48,0,-1,-1,-1,0,0,0,,
Other_peaker,all,0.6,0,1,1,3.6,3.6,0,0,0,-1,-1,-1,0,0,69,,
Natural gas steam turbine,all,0.6,0,1,1,3.6,3.6,0,0,0,-1,-1,-1,0,0,69,,
o-g-s,all,0.6,0,1,1,3.6,3.6,0,0,0,-1,-1,-1,0,0,69,,
Hydroelectric Pumped Storage,all,,0,0.894427191,0.894427191,,,,,0,-1,-1,-1,0,0,,13,11
pumped-hydro,all,,0,0.894427191,0.894427191,,,,,0,-1,-1,-1,0,0,,13,11
re-cc,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
re-ct,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
naturalgas_1on1_combined_cycle,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
naturalgas_2on1_combined_cycle,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
naturalgas_2on1_combined_cycle_fframe_95_ccs,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
naturalgas_combustion_turbine,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
pumped storage hydropower,all,,0,0.894427191,0.894427191,,,,,0,-1,-1,-1,0,0,,13,11
utility-scale_battery_storage,all,,0,0.921954446,0.921954446,,,,,0,-1,-1,-1,0,0,,8,0
