region,planning_year,value
SERC-Southeast,2050,0.15
Texas RE-ERCOT,2026,0.138
Texas RE-ERCOT,2027,0.138
Texas RE-ERCOT,2028,0.138
Texas RE-ERCOT,2029,0.138
Texas RE-ERCOT,2030,0.138
Texas RE-ERCOT,2031,0.138
Texas RE-ERCOT,2032,0.138
Texas RE-ERCOT,2033,0.138
Texas RE-ERCOT,2034,0.138
Texas RE-ERCOT,2035,0.138
Texas RE-ERCOT,2036,0.138
Texas RE-ERCOT,2037,0.138
Texas RE-ERCOT,2038,0.138
Texas RE-ERCOT,2039,0.138
Texas RE-ERCOT,2040,0.138
Texas RE-ERCOT,2041,0.138
Texas RE-ERCOT,2042,0.138
Texas RE-ERCOT,2043,0.138
Texas RE-ERCOT,2044,0.138
Texas RE-ERCOT,2045,0.138
Texas RE-ERCOT,2046,0.138
Texas RE-ERCOT,2047,0.138
Texas RE-ERCOT,2048,0.138
Texas RE-ERCOT,2049,0.138
Texas RE-ERCOT,2050,0.138
WECC-Alberta,2026,0.118
WECC-Alberta,2027,0.176
WECC-Alberta,2028,0.143
WECC-Alberta,2029,0.156
WECC-Alberta,2030,0.116
WECC-Alberta,2031,0.152
WECC-Alberta,2032,0.122
WECC-Alberta,2033,0.143
WECC-Alberta,2034,0.139
WECC-Alberta,2035,0.135
WECC-Alberta,2036,0.135
WECC-Alberta,2037,0.135
WECC-Alberta,2038,0.135
WECC-Alberta,2039,0.135
WECC-Alberta,2040,0.135
WECC-Alberta,2041,0.135
WECC-Alberta,2042,0.135
WECC-Alberta,2043,0.135
WECC-Alberta,2044,0.135
WECC-Alberta,2045,0.135
WECC-Alberta,2046,0.135
WECC-Alberta,2047,0.135
WECC-Alberta,2048,0.135
WECC-Alberta,2049,0.135
WECC-Alberta,2050,0.135
WECC-Basin,2026,0.135
WECC-Basin,2027,0.14
WECC-Basin,2028,0.136
WECC-Basin,2029,0.124
WECC-Basin,2030,0.123
WECC-Basin,2031,0.121
WECC-Basin,2032,0.121
WECC-Basin,2033,0.125
WECC-Basin,2034,0.118
WECC-Basin,2035,0.118
WECC-Basin,2036,0.118
WECC-Basin,2037,0.118
WECC-Basin,2038,0.118
WECC-Basin,2039,0.118
WECC-Basin,2040,0.118
WECC-Basin,2041,0.118
WECC-Basin,2042,0.118
WECC-Basin,2043,0.118
WECC-Basin,2044,0.118
WECC-Basin,2045,0.118
WECC-Basin,2046,0.118
WECC-Basin,2047,0.118
WECC-Basin,2048,0.118
WECC-Basin,2049,0.118
WECC-Basin,2050,0.118
WECC-British Columbia,2026,0.117
WECC-British Columbia,2027,0.121
WECC-British Columbia,2028,0.121
WECC-British Columbia,2029,0.116
WECC-British Columbia,2030,0.116
WECC-British Columbia,2031,0.116
WECC-British Columbia,2032,0.115
WECC-British Columbia,2033,0.119
WECC-British Columbia,2034,0.115
WECC-British Columbia,2035,0.114
WECC-British Columbia,2036,0.114
WECC-British Columbia,2037,0.114
WECC-British Columbia,2038,0.114
WECC-British Columbia,2039,0.114
WECC-British Columbia,2040,0.114
WECC-British Columbia,2041,0.114
WECC-British Columbia,2042,0.114
WECC-British Columbia,2043,0.114
WECC-British Columbia,2044,0.114
WECC-British Columbia,2045,0.114
WECC-British Columbia,2046,0.114
WECC-British Columbia,2047,0.114
WECC-British Columbia,2048,0.114
WECC-British Columbia,2049,0.114
WECC-British Columbia,2050,0.114
WECC-California,2026,0.203
WECC-California,2027,0.192
WECC-California,2028,0.193
WECC-California,2029,0.197
WECC-California,2030,0.193
WECC-California,2031,0.191
WECC-California,2032,0.189
WECC-California,2033,0.178
WECC-California,2034,0.183
WECC-California,2035,0.18
WECC-California,2036,0.18
WECC-California,2037,0.18
WECC-California,2038,0.18
WECC-California,2039,0.18
WECC-California,2040,0.18
WECC-California,2041,0.18
WECC-California,2042,0.18
WECC-California,2043,0.18
WECC-California,2044,0.18
WECC-California,2045,0.18
WECC-California,2046,0.18
WECC-California,2047,0.18
WECC-California,2048,0.18
WECC-California,2049,0.18
WECC-California,2050,0.18
WECC-Mexico,2026,0.078
WECC-Mexico,2027,0.08
WECC-Mexico,2028,0.091
WECC-Mexico,2029,0.072
WECC-Mexico,2030,0.07
WECC-Mexico,2031,0.068
WECC-Mexico,2032,0.067
WECC-Mexico,2033,0.074
WECC-Mexico,2034,0.064
WECC-Mexico,2035,0.063
WECC-Mexico,2036,0.063
WECC-Mexico,2037,0.063
WECC-Mexico,2038,0.063
WECC-Mexico,2039,0.063
WECC-Mexico,2040,0.063
