p99,p133,p128,p131
133,348,163,237
135,415,322,236
115,643,373,340
84,446,406,302
84,222,291,184
89,147,210,239
73,72,147,238
263,70,187,250
372,101,128,243
445,155,117,245
352,184,108,308
229,224,110,356
276,282,182,329
355,252,202,333
407,254,300,384
449,206,342,425
585,145,231,366
674,153,202,302
816,259,262,298
957,488,347,300
807,605,782,420
412,755,983,583
983,983,983,861
983,983,983,963
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
748,983,983,983
603,983,983,983
636,983,983,983
450,983,983,983
403,983,983,983
332,983,983,983
212,983,983,983
206,983,983,983
222,983,983,983
286,983,983,983
573,714,916,983
768,468,610,983
983,335,448,983
943,221,267,969
983,96,199,602
983,59,75,307
983,51,54,163
983,44,30,95
983,2,18,41
983,0,35,0
983,30,44,21
885,6,32,110
884,8,32,92
983,85,59,72
983,82,65,67
983,0,44,59
983,0,71,44
983,46,94,45
983,76,168,29
983,198,269,176
983,169,325,151
983,314,367,128
983,218,333,18
983,528,90,27
983,983,914,35
983,834,983,51
983,511,582,65
983,392,484,523
983,417,473,686
983,376,579,820
955,235,499,685
258,163,323,636
181,93,94,99
110,59,97,102
51,81,105,87
7,75,111,86
0,78,86,66
9,70,74,64
47,49,51,62
349,28,21,56
431,43,10,219
515,80,51,378
335,223,177,478
734,431,415,494
514,503,520,526
961,771,711,533
983,806,719,562
983,748,751,560
983,675,682,683
983,557,689,756
983,624,709,532
983,561,755,723
983,660,768,865
983,725,870,858
983,901,983,859
983,983,983,975
983,983,983,983
983,977,983,983
983,983,983,983
983,983,983,983
983,980,983,983
983,983,983,906
983,983,983,947
973,983,983,983
933,983,983,983
932,983,983,983
760,983,983,983
639,983,983,983
652,983,983,983
611,983,983,983
567,970,983,983
591,945,983,983
619,983,983,983
578,983,983,983
647,983,983,882
538,941,983,983
424,868,974,983
383,708,776,820
406,778,787,893
418,739,978,778
307,619,803,731
267,586,703,928
212,637,735,847
137,873,867,893
123,813,860,962
199,659,770,883
315,591,646,935
604,368,478,872
590,201,129,683
624,217,144,554
879,194,128,360
983,432,382,142
983,86,73,154
983,0,0,87
983,0,0,0
983,0,0,0
983,82,96,45
983,121,212,99
983,95,290,150
983,99,139,130
983,196,77,125
983,252,445,166
983,332,520,413
983,351,709,552
983,507,562,894
983,731,914,731
983,842,838,911
983,686,846,983
983,764,908,983
975,676,927,892
727,467,806,751
527,555,549,863
395,507,656,719
238,538,822,930
141,825,621,817
97,790,983,777
52,904,873,732
0,694,874,975
0,522,635,587
0,506,407,347
0,523,397,399
34,255,329,209
58,192,250,156
132,236,171,195
123,255,149,139
120,224,213,93
99,167,178,143
119,80,160,141
122,53,140,136
134,60,92,143
136,75,651,123
127,50,480,222
189,20,317,248
61,449,506,152
0,222,417,276
0,205,255,318
0,113,84,140
0,102,102,72
55,2,60,34
33,118,36,0
70,169,28,0
130,62,0,0
128,57,0,0
159,0,0,0
271,0,0,0
259,0,0,0
313,48,18,0
259,56,42,48
287,142,103,74
289,211,241,142
236,293,340,202
162,300,377,122
155,338,483,185
155,313,308,246
13,193,245,139
4,102,84,117
0,61,60,83
0,38,64,83
0,0,28,38
0,0,0,0
25,0,0,0
72,43,0,7
272,54,0,58
482,47,75,85
858,178,144,156
983,195,195,190
983,333,222,238
983,983,401,318
983,983,983,574
933,983,983,983
983,983,983,983
656,983,983,983
89,983,983,983
373,983,983,983
275,983,983,983
399,983,983,983
799,983,983,983
660,983,983,983
705,983,983,983
696,983,983,983
515,983,983,983
620,983,983,983
443,983,983,983
512,983,983,983
504,983,983,983
786,983,983,983
958,983,983,983
613,983,983,983
435,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
646,983,983,983
473,983,983,983
253,983,983,983
126,983,983,983
89,983,983,983
285,983,983,983
463,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
876,983,983,983
517,983,983,983
446,983,983,983
556,983,983,853
550,983,983,983
544,862,983,983
687,757,983,983
666,733,983,983
460,913,983,983
275,947,983,983
256,977,983,983
319,955,981,983
351,983,983,983
320,777,981,946
350,834,827,907
320,708,788,740
369,424,467,767
534,377,406,611
731,343,459,507
983,304,434,408
983,340,377,332
983,390,473,433
983,366,483,599
983,490,511,840
983,539,676,983
983,777,798,983
983,922,983,924
983,781,983,983
983,700,971,983
983,845,983,983
983,983,983,983
738,979,983,983
689,983,983,983
608,983,983,983
680,983,983,983
406,983,983,983
322,983,983,983
348,983,983,983
479,983,983,983
728,983,983,983
685,983,983,983
653,981,983,983
801,983,983,983
788,983,983,983
503,983,983,983
317,983,983,983
184,983,983,983
249,983,983,983
325,983,983,983
538,983,983,983
605,983,983,983
483,983,983,983
830,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
947,983,983,983
966,983,983,983
639,983,983,983
613,983,983,983
355,983,983,983
235,983,983,983
155,983,983,983
127,983,983,983
93,983,983,983
70,983,983,983
49,983,983,983
47,983,983,983
84,983,983,983
156,983,983,983
558,983,983,983
882,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
865,983,983,983
584,983,983,983
481,983,983,983
523,983,983,983
644,983,983,983
681,983,983,983
757,983,983,983
470,983,983,983
438,983,983,983
386,983,983,983
421,914,937,983
332,802,726,958
176,523,540,943
217,366,466,785
321,301,275,557
326,186,181,406
329,211,134,252
275,160,138,162
238,117,125,108
306,80,101,100
428,152,78,98
460,346,169,93
446,458,393,118
490,404,526,161
394,301,437,254
531,405,415,336
443,433,455,813
383,794,622,873
317,812,921,983
501,983,983,983
506,983,983,983
751,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,856
904,931,745,672
740,752,463,594
570,502,377,562
542,307,298,467
459,180,193,368
325,83,145,247
198,50,85,75
104,55,63,52
56,100,37,47
0,166,93,62
0,230,192,88
0,269,308,136
0,174,250,259
0,147,438,492
0,419,519,511
6,488,538,420
49,821,717,613
100,983,983,730
98,983,983,761
72,983,983,979
63,983,983,983
72,983,983,983
73,983,983,983
42,983,983,983
16,983,983,983
60,980,983,983
74,983,983,983
29,855,983,983
0,729,965,983
0,589,983,983
0,439,737,983
0,387,654,701
0,424,651,983
0,458,752,983
0,544,735,983
0,694,797,983
25,677,770,983
58,748,753,983
115,671,780,947
82,595,721,913
47,656,764,836
0,983,983,983
0,983,983,983
0,983,983,983
60,983,983,983
91,852,983,793
